"Reference","Qty","Value","DigiKey","AX"
"AE1","1","AANI-CH-0138-Q-T","535-AANI-CH-0138-Q-TCT-ND",""
"BT1","1","CR2032_Holder","123-A-BAT-CH-C8-EA-ZSR3CT-ND",""
"C1","1","10u","","27204"
"C2,C3,C4,C5,C12,C13","6","100n","","27726"
"C6,C7","2","2.2u","490-12731-1-ND",""
"C8,C9","2","10n","490-3194-1-ND",""
"C10","1","100u","490-9969-1-ND",""
"C14","1","1.5p","712-QLCD250Q1R5B1GV001TCT-ND",""
"C15","1","2.0p","490-11205-1-ND",""
"C16","1","0.3p","490-17132-1-ND",""
"FB1","1","100R@100MHz","","73236"
"J1","1","Conn_Coaxial_Small","H11891CT-ND",""
"L1","1","4.7u","490-12065-1-ND",""
"L2","1","2.7n","490-15398-1-ND",""
"L3,L4","2","3.5n","490-15430-1-ND",""
"L5","1","7.3n","490-6844-1-ND",""
"L6","1","6.7n","490-LQW15AN6N7B00DCT-ND",""
"R1","1","1k","","201001"
"R2,R3","2","4.7k","","204701"
"U1","1","nRF54L05-QFXX","4823-NRF54L05-QFAA-RCT-ND",""
"U2","1","SHTC3","1649-SHTC3-TR-2.5KSCT-ND",""
"U3","1","HDC2010","296-47774-1-ND",""
"X1","1","32MHz","478-CX3225FB32000C0FZZH1CT-ND",""
"X2","1","32.768kHz","728-1074-1-ND",""
